,true_tokens,pred_tokens,t_labels,p_labels
15133,our,our,O,O
15134,hungry,hungry,O,O
15135,stomachs,stomachs,O,O
15136,justice,justice,O,O
15137,.,.,O,O
15138,I,I,O,O
15139,love,love,O,O
15140,naan,naan,B-MENU,B-MENU
15141,so,so,O,O
15142,I,I,O,O
15143,was,was,O,O
15144,a,a,O,O
15145,bit,bit,O,O
15146,disappointed,disappointed,O,O
15147,that,that,O,O
15148,the,the,O,O
15149,naan,naan,B-MENU,B-MENU
15150,was,was,O,O
15151,not,not,O,O
15152,up,up,O,O
15153,to,to,O,O
15154,par,par,O,O
15155,.,.,O,O
15156,If,If,O,O
15157,you,you,O,O
15158,are,are,O,O
15159,in,in,O,O
15160,the,the,O,O
15161,Entertainment,Entertainment,O,O
15162,district,district,O,O
15163,and,and,O,O
15164,wanted,wanted,O,O
15165,an,an,O,O
15166,Indian,Indian,O,O
15167,lunch,lunch,O,O
15168,buffet,buffet,O,O
15169,",",",",O,O
15170,I,I,O,O
15171,highly,highly,O,O
15172,recommend,recommend,O,O
15173,Aroma.Aroma,Aroma.Aroma,O,O
15174,is,is,O,O
15175,my,my,O,O
15176,office's,office's,O,O
15177,place,place,O,O
15178,of,of,O,O
15179,choice,choice,O,O
15180,when,when,O,O
15181,it,it,O,O
15182,comes,comes,O,O
15183,to,to,O,O
15184,all,all,O,O
15185,you,you,O,O
15186,can,can,O,O
15187,eat,eat,O,O
15188,Indian,Indian,O,O
15189,lunch,lunch,O,O
15190,buffets,buffets,O,O
15191,.,.,O,O
15192,This,This,O,O
15193,is,is,O,O
15194,good,good,O,O
15195,becuase,becuase,O,O
15196,while,while,O,O
15197,I,I,O,O
15198,enjoy,enjoy,O,O
15199,their,their,O,O
15200,lunch,lunch,O,O
15201,buffet,buffet,O,O
15202,",",",",O,O
15203,their,their,O,O
15204,dinner,dinner,O,O
15205,experiences,experiences,O,O
15206,are,are,O,O
15207,quite,quite,O,O
15208,mediocre,mediocre,O,O
15209,.,.,O,O
15210,I,I,O,O
15211,won't,won't,O,O
15212,go,go,O,O
15213,into,into,O,O
15214,much,much,O,O
15215,detail,detail,O,O
15216,since,since,O,O
15217,I'm,I'm,O,O
15218,reviewing,reviewing,O,O
15219,them,them,O,O
15220,for,for,O,O
15221,lunch,lunch,O,O
15222,",",",",O,O
15223,but,but,O,O
15224,I,I,O,O
15225,will,will,O,O
15226,say,say,O,O
15227,a,a,O,O
15228,lot,lot,O,O
15229,of,of,O,O
15230,the,the,O,O
15231,horror,horror,O,O
15232,stories,stories,O,O
15233,for,for,O,O
15234,dinner,dinner,O,O
15235,posted,posted,O,O
15236,on,on,O,O
15237,Aroma's,Aroma's,O,O
15238,Yelp,Yelp,O,O
15239,are,are,O,O
15240,definitely,definitely,O,O
15241,true,true,O,O
15242,.,.,O,O
15243,For,For,O,O
15244,lunch,lunch,O,O
15245,at,at,O,O
15246,least,least,O,O
15247,",",",",O,O
15248,Aroma,Aroma,O,O
15249,is,is,O,O
15250,always,always,O,O
15251,packed,packed,O,O
15252,.,.,O,O
15253,The,The,O,O
15254,food,food,O,O
15255,gets,gets,O,O
15256,constantly,constantly,O,O
15257,refilled,refilled,O,O
15258,because,because,O,O
15259,of,of,O,O
15260,how,how,O,O
15261,quickly,quickly,O,O
15262,everyone,everyone,O,O
15263,goes,goes,O,O
15264,through,through,O,O
15265,everything,everything,O,O
15266,",",",",O,O
15267,which,which,O,O
15268,means,means,O,O
15269,you'll,you'll,O,O
15270,always,always,O,O
15271,get,get,O,O
15272,some,some,O,O
15273,hot,hot,O,O
15274,freshly,freshly,O,O
15275,cooked,cooked,O,O
15276,curries,curries,O,O
15277,.,.,O,O
15278,Their,Their,O,O
15279,curries,curries,O,O
15280,themselves,themselves,O,O
15281,are,are,O,O
15282,pretty,pretty,O,O
15283,good,good,O,O
15284,",",",",O,O
15285,always,always,O,O
15286,steaming,steaming,O,O
15287,hot,hot,O,O
15288,and,and,O,O
15289,the,the,O,O
15290,meats,meats,O,O
15291,are,are,O,O
15292,all,all,O,O
15293,tender,tender,O,O
15294,and,and,O,O
15295,flavourful,flavourful,O,O
15296,.,.,O,O
15297,That,That,O,O
15298,makes,makes,O,O
15299,having,having,O,O
15300,unlimited,unlimited,O,O
15301,of,of,O,O
15302,those,those,O,O
15303,curries,curries,O,O
15304,",",",",O,O
15305,at,at,O,O
15306,least,least,O,O
15307,for,for,O,O
15308,lunch,lunch,O,O
15309,",",",",O,O
15310,a,a,O,O
15311,good,good,O,O
15312,thing,thing,O,O
15313,.,.,O,O
15314,My,My,O,O
15315,recommendations,recommendations,O,O
15316,in,in,O,O
15317,particular,particular,O,O
15318,are,are,O,O
15319,the,the,O,O
15320,butter,butter,B-MENU,B-MENU
15321,chicken,chicken,I-MENU,I-MENU
15322,",",",",O,O
15323,vegetable,vegetable,B-MENU,B-MENU
15324,pakoras,pakoras,I-MENU,I-MENU
15325,",",",",O,O
15326,and,and,O,O
15327,their,their,O,O
15328,eggplant,eggplant,B-MENU,B-MENU
15329,curry,curry,I-MENU,I-MENU
15330,.,.,O,O
15331,The,The,O,O
15332,classics,classics,O,O
15333,are,are,O,O
15334,often,often,O,O
15335,the,the,O,O
15336,best,best,O,O
15337,",",",",O,O
15338,and,and,O,O
15339,it's,it's,O,O
15340,definitely,definitely,O,O
15341,true,true,O,O
15342,for,for,O,O
15343,Aroma,Aroma,O,O
15344,.,.,O,O
15345,It,It,O,O
15346,might,might,O,O
15347,be,be,O,O
15348,hard,hard,O,O
15349,to,to,O,O
15350,get,get,O,O
15351,a,a,O,O
15352,table,table,O,O
15353,though,though,O,O
15354,;,;,O,O
15355,you'll,you'll,O,O
15356,most,most,O,O
15357,likely,likely,O,O
15358,have,have,O,O
15359,to,to,O,O
15360,wait,wait,O,O
15361,for,for,O,O
15362,it,it,O,O
15363,.,.,O,O
15364,The,The,O,O
15365,restauarant,restauarant,O,O
15366,table,table,O,O
15367,density,density,O,O
15368,is,is,O,O
15369,also,also,O,O
15370,very,very,O,O
15371,high,high,O,O
15372,",",",",O,O
15373,which,which,O,O
15374,makes,makes,O,O
15375,it,it,O,O
15376,very,very,O,O
15377,difficult,difficult,O,O
15378,to,to,O,O
15379,walk,walk,O,O
15380,around,around,O,O
15381,.,.,O,O
15382,It,It,O,O
15383,felt,felt,O,O
15384,like,like,O,O
15385,I,I,O,O
15386,had,had,O,O
15387,to,to,O,O
15388,navigate,navigate,O,O
15389,a,a,O,O
15390,landmine,landmine,O,O
15391,when,when,O,O
15392,I,I,O,O
15393,went,went,O,O
15394,to,to,O,O
15395,the,the,O,O
15396,bathroom,bathroom,O,O
15397,.,.,O,O
15398,The,The,O,O
15399,tables,tables,O,O
15400,themselves,themselves,O,O
15401,are,are,O,O
15402,also,also,O,O
15403,way,way,O,O
15404,too,too,O,O
15405,flimsy,flimsy,O,O
15406,.,.,O,O
15407,Our,Our,O,O
15408,table,table,O,O
15409,shook,shook,O,O
15410,a,a,O,O
15411,lot,lot,O,O
15412,when,when,O,O
15413,we,we,O,O
15414,were,were,O,O
15415,eating,eating,O,O
15416,",",",",O,O
15417,which,which,O,O
15418,was,was,O,O
15419,kind,kind,O,O
15420,of,of,O,O
15421,unpleasant,unpleasant,O,O
15422,.,.,O,O
15423,Overall,Overall,O,O
15424,",",",",O,O
15425,I,I,O,O
15426,enjoy,enjoy,O,O
15427,our,our,O,O
15428,visits,visits,O,O
15429,to,to,O,O
15430,Aroma,Aroma,O,O
15431,.,.,O,O
15432,I,I,O,O
15433,had,had,O,O
15434,a,a,O,O
15435,few,few,O,O
15436,complaints,complaints,O,O
15437,",",",",O,O
15438,but,but,O,O
15439,that,that,O,O
15440,doesn't,doesn't,O,O
15441,detract,detract,O,O
15442,too,too,O,O
15443,much,much,O,O
15444,from,from,O,O
15445,the,the,O,O
15446,experience.Ratings,experience.Ratings,O,O
15447,were,were,O,O
15448,spotty,spotty,O,O
15449,but,but,O,O
15450,I,I,O,O
15451,thought,thought,O,O
15452,I,I,O,O
15453,venture,venture,O,O
15454,into,into,O,O
15455,it,it,O,O
15456,for,for,O,O
15457,dinner,dinner,O,O
15458,anyway,anyway,O,O
15459,.,.,O,O
15460,Don't,Don't,O,O
15461,look,look,O,O
15462,for,for,O,O
15463,the,the,O,O
15464,decor,decor,O,O
15465,or,or,O,O
15466,ambiance,ambiance,O,O
15467,to,to,O,O
15468,wow,wow,O,O
15469,you,you,O,O
15470,",",",",O,O
15471,it,it,O,O
15472,feels,feels,O,O
15473,more,more,O,O
15474,like,like,O,O
15475,a,a,O,O
15476,cafeteria,cafeteria,O,O
15477,.,.,O,O
15478,Service,Service,O,O
15479,is,is,O,O
15480,efficient,efficient,O,O
15481,but,but,O,O
15482,not,not,O,O
15483,hyper-aware,hyper-aware,O,O
15484,of,of,O,O
15485,your,your,O,O
15486,needs,needs,O,O
15487,.,.,O,O
15488,I,I,O,O
15489,had,had,O,O
15490,some,some,O,O
15491,grilled,grilled,B-MENU,B-MENU
15492,paneer,paneer,I-MENU,I-MENU
15493,",",",",O,O
15494,very,very,O,O
15495,good,good,O,O
15496,.,.,O,O
15497,The,The,O,O
15498,Aloo,Aloo,B-MENU,B-MENU
15499,Ghobi,Ghobi,I-MENU,I-MENU
15500,was,was,O,O
15501,a,a,O,O
15502,safe,safe,O,O
15503,bet,bet,O,O
15504,",",",",O,O
15505,could,could,O,O
15506,have,have,O,O
15507,been,been,O,O
15508,a,a,O,O
15509,bit,bit,O,O
15510,hotter,hotter,O,O
15511,.,.,O,O
15512,The,The,O,O
15513,the,the,O,O
15514,pea,pea,O,O
15515,pilaf,pilaf,O,I-MENU
15516,was,was,O,O
15517,mediocre,mediocre,O,O
15518,.,.,O,O
15519,Naan,Naan,B-MENU,B-MENU
15520,very,very,O,O
15521,good,good,O,O
15522,",",",",O,O
15523,maybe,maybe,O,O
15524,a,a,O,O
15525,bit,bit,O,O
15526,too,too,O,O
15527,much,much,O,O
15528,butter,butter,O,O
15529,but,but,O,O
15530,that's,that's,O,O
15531,a,a,O,O
15532,common,common,O,O
15533,beef,beef,O,O
15534,of,of,O,O
15535,mine,mine,O,O
15536,.,.,O,O
15537,Don't,Don't,O,O
15538,take,take,O,O
15539,someone,someone,O,O
15540,special,special,O,O
15541,there,there,O,O
15542,for,for,O,O
15543,a,a,O,O
15544,first,first,O,O
15545,date,date,O,O
15546,but,but,O,O
15547,not,not,O,O
15548,a,a,O,O
15549,shabby,shabby,O,O
15550,choice,choice,O,O
15551,after,after,O,O
15552,a,a,O,O
15553,long,long,O,O
15554,day,day,O,O
15555,when,when,O,O
15556,you,you,O,O
15557,need,need,O,O
15558,your,your,O,O
15559,fix,fix,O,O
15560,of,of,O,O
15561,vindaloo.Would've,vindaloo.Would've,O,B-MENU
15562,given,given,O,O
15563,5,5,O,O
15564,stars,stars,O,O
15565,for,for,O,O
15566,food,food,O,O
15567,",",",",O,O
15568,it,it,O,O
15569,was,was,O,O
15570,the,the,O,O
15571,absolute,absolute,O,O
15572,best,best,O,O
15573,Indian,Indian,O,O
15574,I've,I've,O,O
15575,had,had,O,O
15576,in,in,O,O
15577,Toronto,Toronto,O,O
15578,.,.,O,O
15579,The,The,O,O
15580,standouts,standouts,O,O
15581,were,were,O,O
15582,the,the,O,O
15583,chicken,chicken,B-MENU,B-MENU
15584,tikka,tikka,I-MENU,I-MENU
15585,masala,masala,I-MENU,I-MENU
15586,",",",",O,O
15587,lamb,lamb,B-MENU,B-MENU
15588,korma,korma,I-MENU,I-MENU
15589,",",",",O,O
15590,and,and,O,O
15591,the,the,O,O
15592,vegetarian,vegetarian,B-MENU,B-MENU
15593,roasted,roasted,I-MENU,I-MENU
15594,Eggplant,Eggplant,I-MENU,I-MENU
15595,dish,dish,O,I-MENU
15596,.,.,O,O
15597,The,The,O,O
15598,naan,naan,B-MENU,B-MENU
15599,was,was,O,O
15600,so,so,O,O
15601,fresh,fresh,O,O
15602,",",",",O,O
15603,you,you,O,O
15604,could,could,O,O
15605,see,see,O,O
15606,them,them,O,O
15607,making,making,O,O
15608,the,the,O,O
15609,dough,dough,O,O
15610,when,when,O,O
15611,you,you,O,O
15612,walk,walk,O,O
15613,in,in,O,O
15614,",",",",O,O
15615,and,and,O,O
15616,they,they,O,O
15617,make,make,O,O
15618,it,it,O,O
15619,hot,hot,O,O
15620,and,and,O,O
15621,fresh,fresh,O,O
15622,to,to,O,O
15623,order,order,O,O
15624,.,.,O,O
15625,It,It,O,O
15626,was,was,O,O
15627,heavenly,heavenly,O,O
15628,.,.,O,O
15629,Only,Only,O,O
15630,lost,lost,O,O
15631,1,1,O,O
15632,star,star,O,O
15633,for,for,O,O
15634,slightly,slightly,O,O
15635,slow,slow,O,O
15636,service,service,O,O
15637,.,.,O,O
15638,But,But,O,O
15639,will,will,O,O
15640,definitely,definitely,O,O
15641,be,be,O,O
15642,returning,returning,O,O
15643,many,many,O,O
15644,times,times,O,O
15645,.,.,O,O
15646,Highly,Highly,O,O
15647,recommended,recommended,O,O
15648,!,!,O,O
15649,Very,Very,O,O
15650,good,good,O,O
15651,food,food,O,O
15652,!,!,O,O
15653,In,In,O,O
15654,town,town,O,O
15655,visiting,visiting,O,O
15656,from,from,O,O
15657,the,the,O,O
15658,USA,USA,O,O
15659,",",",",O,O
15660,loved,loved,O,O
15661,this,this,O,O
15662,place,place,O,O
15663,.,.,O,O
15664,The,The,O,O
15665,atmosphere,atmosphere,O,O
15666,was,was,O,O
15667,terrific,terrific,O,O
15668,!,!,O,O
15669,Meh,Meh,O,O
15670,.,.,O,O
15671,.,.,O,O
15672,.,.,O,O
15673,.,.,O,O
15674,.,.,O,O
15675,.,.,O,O
15676,I've,I've,O,O
15677,had,had,O,O
15678,better,better,O,O
15679,Indian,Indian,O,O
15680,fare,fare,O,O
15681,at,at,O,O
15682,other,other,O,O
15683,restaurants,restaurants,O,O
15684,.,.,O,O
15685,Met,Met,O,O
15686,my,my,O,O
15687,niece,niece,O,O
15688,downtown,downtown,O,O
15689,and,and,O,O
15690,the,the,O,O
15691,3,3,O,O
15692,of,of,O,O
15693,us,us,O,O
15694,decided,decided,O,O
15695,on,on,O,O
15696,Indian,Indian,O,O
15697,fare,fare,O,O
15698,.,.,O,O
15699,None,None,O,O
15700,of,of,O,O
15701,us,us,O,O
15702,had,had,O,O
15703,dined,dined,O,O
15704,here,here,O,O
15705,prior,prior,O,O
15706,to,to,O,O
15707,this,this,O,O
15708,visit,visit,O,O
15709,",",",",O,O
15710,but,but,O,O
15711,we've,we've,O,O
15712,all,all,O,O
15713,heard,heard,O,O
15714,good,good,O,O
15715,things,things,O,O
15716,about,about,O,O
15717,.,.,O,O
15718,It,It,O,O
15719,was,was,O,O
15720,the,the,O,O
15721,opening,opening,O,O
15722,night,night,O,O
15723,of,of,O,O
15724,the,the,O,O
15725,Leafs,Leafs,O,O
15726,season,season,O,O
15727,and,and,O,O
15728,they,they,O,O
15729,were,were,O,O
15730,playing,playing,O,O
15731,Montreal,Montreal,O,O
15732,",",",",O,O
15733,so,so,O,O
15734,this,this,O,O
15735,area,area,O,O
15736,of,of,O,O
15737,the,the,O,O
15738,city,city,O,O
15739,was,was,O,O
15740,electrified,electrified,O,O
15741,(,(,O,O
15742,the,the,O,O
15743,Princess,Princess,O,O
15744,of,of,O,O
15745,Wales,Wales,O,O
15746,theatre,theatre,O,O
15747,is,is,O,O
15748,kitty,kitty,O,O
15749,corner,corner,O,O
15750,to,to,O,O
15751,this,this,O,O
15752,restaurant,restaurant,O,O
15753,as,as,O,O
15754,well,well,O,O
15755,),),O,O
15756,.,.,O,O
15757,.,.,O,O
15758,.,.,O,O
15759,however,however,O,O
15760,the,the,O,O
15761,restaurant,restaurant,O,O
15762,was,was,O,O
15763,a,a,O,O
15764,nice,nice,O,O
15765,sanctuary,sanctuary,O,O
15766,from,from,O,O
15767,the,the,O,O
15768,crowds,crowds,O,O
15769,(,(,O,O
15770,which,which,O,O
15771,we,we,O,O
15772,could,could,O,O
15773,not,not,O,O
15774,hear,hear,O,O
15775,once,once,O,O
15776,inside,inside,O,O
15777,),),O,O
15778,.,.,O,O
15779,Decor,Decor,O,O
15780,is,is,O,O
15781,nice,nice,O,O
15782,",",",",O,O
15783,nothing,nothing,O,O
15784,to,to,O,O
15785,write,write,O,O
15786,home,home,O,O
15787,about,about,O,O
15788,.,.,O,O
15789,If,If,O,O
15790,you,you,O,O
15791,suffer,suffer,O,O
15792,from,from,O,O
15793,mobility,mobility,O,O
15794,issues,issues,O,O
15795,",",",",O,O
15796,this,this,O,O
15797,place,place,O,O
15798,will,will,O,O
15799,be,be,O,O
15800,difficult,difficult,O,O
15801,for,for,O,O
15802,you,you,O,O
15803,as,as,O,O
15804,it's,it's,O,O
15805,on,on,O,O
15806,the,the,O,O
15807,2nd,2nd,O,O
15808,floor,floor,O,O
15809,of,of,O,O
15810,the,the,O,O
15811,building,building,O,O
15812,.,.,O,O
15813,The,The,O,O
15814,bathroom,bathroom,O,O
15815,is,is,O,O
15816,located,located,O,O
15817,another,another,O,O
15818,level,level,O,O
15819,up,up,O,O
15820,from,from,O,O
15821,the,the,O,O
15822,dining,dining,O,O
15823,room,room,O,O
15824,(,(,O,O
15825,3rd,3rd,O,O
15826,floor,floor,O,O
15827,),),O,O
15828,.,.,O,O
15829,Food,Food,O,O
15830,",",",",O,O
15831,at,at,O,O
15832,best,best,O,O
15833,",",",",O,O
15834,is,is,O,O
15835,good,good,O,O
15836,",",",",O,O
15837,not,not,O,O
15838,stellar,stellar,O,O
15839,.,.,O,O
15840,.,.,O,O
15841,.,.,O,O
15842,I've,I've,O,O
15843,had,had,O,O
15844,comparable,comparable,O,O
15845,food,food,O,O
15846,items,items,O,O
15847,at,at,O,O
15848,other,other,O,O
15849,restaurants,restaurants,O,O
15850,that,that,O,O
15851,were,were,O,O
15852,better,better,O,O
15853,and,and,O,O
15854,less,less,O,O
15855,expensive,expensive,O,O
15856,.,.,O,O
15857,Service,Service,O,O
15858,was,was,O,O
15859,very,very,O,O
15860,good,good,O,O
15861,-,-,O,O
15862,friendly,friendly,O,O
15863,",",",",O,O
15864,but,but,O,O
15865,not,not,O,O
15866,in,in,O,O
15867,an,an,O,O
15868,in,in,O,O
15869,your,your,O,O
15870,face,face,O,O
15871,kind,kind,O,O
15872,of,of,O,O
15873,way,way,O,O
15874,.,.,O,O
15875,Our,Our,O,O
15876,order,order,O,O
15877,was,was,O,O
15878,as,as,O,O
15879,follows,follows,O,O
15880,:,:,O,O
15881,Chicken,Chicken,B-MENU,B-MENU
15882,Tikka,Tikka,I-MENU,I-MENU
15883,Masala,Masala,I-MENU,I-MENU
15884,-,-,O,O
15885,the,the,O,O
15886,best,best,O,O
15887,dish,dish,O,O
15888,of,of,O,O
15889,the,the,O,O
15890,night,night,O,O
15891,.,.,O,O
15892,Rich,Rich,O,O
15893,in,in,O,O
15894,flavours,flavours,O,O
15895,",",",",O,O
15896,nice,nice,O,O
15897,heat,heat,O,O
15898,.,.,O,O
15899,Butter,Butter,B-MENU,B-MENU
15900,Chicken,Chicken,I-MENU,I-MENU
15901,-,-,O,O
15902,it,it,O,O
15903,was,was,O,O
15904,lukewarm,lukewarm,O,O
15905,(,(,O,O
15906,temperature,temperature,O,O
15907,wise,wise,O,O
15908,),),O,O
15909,which,which,O,O
15910,I,I,O,O
15911,didn't,didn't,O,O
15912,care,care,O,O
15913,for,for,O,O
15914,.,.,O,O
15915,It,It,O,O
15916,was,was,O,O
15917,also,also,O,O
15918,in,in,O,O
15919,the,the,O,O
15920,sweet,sweet,O,O
15921,side,side,O,O
15922,.,.,O,O
15923,Disappointing,Disappointing,O,O
15924,for,for,O,O
15925,me,me,O,O
15926,",",",",O,O
15927,but,but,O,O
15928,one,one,O,O
15929,of,of,O,O
15930,my,my,O,O
15931,dining,dining,O,O
15932,companions,companions,O,O
15933,said,said,O,O
15934,he,he,O,O
15935,thought,thought,O,O
15936,is,is,O,O
15937,was,was,O,O
15938,excellent,excellent,O,O
15939,.,.,O,O
15940,Lamb,Lamb,B-MENU,B-MENU
15941,Biriyani,Biriyani,I-MENU,I-MENU
15942,-,-,O,O
15943,rich,rich,O,O
15944,in,in,O,O
15945,flavours,flavours,O,O
15946,but,but,O,O
15947,the,the,O,O
15948,lamb,lamb,O,O
15949,was,was,O,O
15950,a,a,O,O
15951,tad,tad,O,O
15952,overcooked,overcooked,O,O
15953,.,.,O,O
15954,Gharam,Gharam,O,B-MENU
15955,Masala,Masala,O,I-MENU
15956,-,-,O,O
15957,no,no,O,O
15958,heat,heat,O,O
15959,at,at,O,O
15960,all,all,O,O
15961,",",",",O,O
15962,but,but,O,O
15963,had,had,O,O
15964,a,a,O,O
15965,nice,nice,O,O
15966,",",",",O,O
15967,complex,complex,O,O
15968,flavour,flavour,O,O
15969,to,to,O,O
15970,it,it,O,O
15971,.,.,O,O
15972,Basmati,Basmati,B-MENU,B-MENU
15973,rice,rice,I-MENU,I-MENU
15974,-,-,O,O
15975,you,you,O,O
15976,can't,can't,O,O
15977,really,really,O,O
15978,screw,screw,O,O
15979,this,this,O,O
15980,dish,dish,O,O
15981,up,up,O,O
15982,.,.,O,O
15983,Nann,Nann,B-MENU,B-MENU
15984,bread,bread,I-MENU,I-MENU
15985,-,-,O,O
15986,excellent,excellent,O,O
15987,",",",",O,O
15988,but,but,O,O
15989,a,a,O,O
15990,bit,bit,O,O
15991,on,on,O,O
15992,the,the,O,O
15993,oily,oily,O,O
15994,side,side,O,O
15995,.,.,O,O
15996,Like,Like,O,O
15997,I,I,O,O
15998,stated,stated,O,O
15999,earlier,earlier,O,O
16000,.,.,O,O
16001,.,.,O,O
16002,.,.,O,O
16003,it,it,O,O
16004,wasn't,wasn't,O,O
16005,the,the,O,O
16006,best,best,O,O
16007,Indian,Indian,O,O
16008,food,food,O,O
16009,I've,I've,O,O
16010,ever,ever,O,O
16011,had,had,O,O
16012,and,and,O,O
16013,it,it,O,O
16014,wasn't,wasn't,O,O
16015,the,the,O,O
16016,worst,worst,O,O
16017,.,.,O,O
16018,Perhaps,Perhaps,O,O
16019,the,the,O,O
16020,hype,hype,O,O
16021,I,I,O,O
16022,heard,heard,O,O
16023,about,about,O,O
16024,this,this,O,O
16025,place,place,O,O
16026,set,set,O,O
16027,my,my,O,O
16028,expectations,expectations,O,O
16029,a,a,O,O
16030,bit,bit,O,O
16031,higher,higher,O,O
16032,.,.,O,O
16033,Dinner,Dinner,O,O
16034,as,as,O,O
16035,ordered,ordered,O,O
16036,above,above,O,O
16037,",",",",O,O
16038,with,with,O,O
16039,a,a,O,O
16040,diet,diet,B-MENU,O
16041,coke,coke,I-MENU,O
16042,",",",",O,O
16043,coke,coke,O,B-MENU
16044,and,and,O,O
16045,2,2,O,O
16046,beers,beers,B-MENU,O
16047,came,came,O,O
16048,to,to,O,O
16049,just,just,O,O
16050,under,under,O,O
16051,$85,$85,O,O
16052,.,.,O,O
16053,Tip,Tip,O,O
16054,brought,brought,O,O
16055,it,it,O,O
16056,close,close,O,O
16057,to,to,O,O
16058,$100,$100,O,O
16059,.,.,O,O
16060,Would,Would,O,O
16061,I,I,O,O
16062,go,go,O,O
16063,back,back,O,O
16064,?,?,O,O
16065,If,If,O,O
16066,in,in,O,O
16067,the,the,O,O
16068,area,area,O,O
16069,again,again,O,O
16070,I,I,O,O
16071,might,might,O,O
16072,.,.,O,O
16073,.,.,O,O
16074,.,.,O,O
16075,or,or,O,O
16076,I,I,O,O
16077,might,might,O,O
16078,just,just,O,O
16079,wander,wander,O,O
16080,up,up,O,O
16081,to,to,O,O
16082,Babur,Babur,O,O
16083,on,on,O,O
16084,Queen,Queen,O,O
16085,St.Just,St.Just,O,O
16086,happen,happen,O,O
16087,to,to,O,O
16088,dine,dine,O,O
16089,here,here,O,O
16090,since,since,O,O
16091,the,the,O,O
16092,other,other,O,O
16093,restaurant,restaurant,O,O
16094,we,we,O,O
16095,decided,decided,O,O
16096,had,had,O,O
16097,long,long,O,O
16098,wait,wait,O,O
16099,time,time,O,O
16100,.,.,O,O
16101,i,i,O,O
16102,did,did,O,O
16103,not,not,O,O
16104,even,even,O,O
16105,read,read,O,O
16106,the,the,O,O
16107,previous,previous,O,O
16108,reviews,reviews,O,O
16109,",",",",O,O
16110,but,but,O,O
16111,overall,overall,O,O
16112,what,what,O,O
16113,I,I,O,O
16114,have,have,O,O
16115,heard,heard,O,O
16116,is,is,O,O
16117,you,you,O,O
16118,can,can,O,O
16119,expect,expect,O,O
16120,good,good,O,O
16121,Indian,Indian,O,O
16122,food,food,O,O
16123,in,in,O,O
16124,Toronto,Toronto,O,O
16125,downtown,downtown,O,O
16126,so,so,O,O
16127,I,I,O,O
16128,had,had,O,O
16129,some,some,O,O
16130,good,good,O,O
16131,hopes,hopes,O,O
16132,.,.,O,O
16133,This,This,O,O
16134,place,place,O,O
16135,did,did,O,O
16136,not,not,O,O
16137,disappoint,disappoint,O,O
16138,me,me,O,O
16139,.,.,O,O
16140,We,We,O,O
16141,were,were,O,O
16142,a,a,O,O
16143,group,group,O,O
16144,of,of,O,O
16145,4,4,O,O
16146,and,and,O,O
16147,the,the,O,O
16148,place,place,O,O
16149,was,was,O,O
16150,busy,busy,O,O
16151,.,.,O,O
16152,Earlier,Earlier,O,O
16153,the,the,O,O
16154,estimated,estimated,O,O
16155,wait,wait,O,O
16156,time,time,O,O
16157,was,was,O,O
16158,15,15,O,O
16159,-,-,O,O
16160,20,20,O,O
16161,mins,mins,O,O
16162,but,but,O,O
16163,within,within,O,O
16164,5mins,5mins,O,O
16165,a,a,O,O
16166,table,table,O,O
16167,was,was,O,O
16168,arranged,arranged,O,O
16169,-,-,O,O
16170,good,good,O,O
16171,job,job,O,O
16172,.,.,O,O
16173,Everything,Everything,O,O
16174,we,we,O,O
16175,order,order,O,O
16176,was,was,O,O
16177,good,good,O,O
16178,.,.,O,O
16179,From,From,O,O
16180,the,the,O,O
16181,several,several,O,O
16182,dishes,dishes,O,O
16183,I,I,O,O
16184,particularly,particularly,O,O
16185,liked,liked,O,O
16186,chicken,chicken,B-MENU,B-MENU
16187,noorani,noorani,I-MENU,I-MENU
16188,kabab,kabab,I-MENU,I-MENU
16189,and,and,O,O
16190,chicken,chicken,B-MENU,B-MENU
16191,lababdar,lababdar,I-MENU,I-MENU
16192,.,.,O,O
16193,Upon,Upon,O,O
16194,request,request,O,O
16195,they,they,O,O
16196,even,even,O,O
16197,replaced,replaced,O,O
16198,pudina,pudina,B-MENU,B-MENU
16199,paratha,paratha,I-MENU,I-MENU
16200,with,with,O,O
16201,laccha,laccha,B-MENU,B-MENU
16202,paratha,paratha,I-MENU,I-MENU
16203,in,in,O,O
16204,the,the,O,O
16205,bread,bread,O,O
16206,basket,basket,O,O
16207,-,-,O,O
16208,appreciate,appreciate,O,O
16209,!,!,O,O
16210,Good,Good,O,O
16211,overall,overall,O,O
16212,!,!,O,O
16213,I,I,O,O
16214,am,am,O,O
16215,surprised,surprised,O,O
16216,by,by,O,O
16217,the,the,O,O
16218,ratings,ratings,O,O
16219,",",",",O,O
16220,I,I,O,O
16221,think,think,O,O
16222,it's,it's,O,O
16223,at,at,O,O
16224,least,least,O,O
16225,a,a,O,O
16226,4,4,O,O
16227,.,.,O,O
16228,I,I,O,O
16229,have,have,O,O
16230,visited,visited,O,O
16231,5,5,O,O
16232,+,+,O,O
16233,times,times,O,O
16234,and,and,O,O
16235,unless,unless,O,O
16236,I,I,O,O
16237,discover,discover,O,O
16238,a,a,O,O
16239,new,new,O,O
16240,place,place,O,O
16241,",",",",O,O
16242,this,this,O,O
16243,is,is,O,O
16244,my,my,O,O
16245,go-to,go-to,O,O
16246,place,place,O,O
16247,for,for,O,O
16248,Indian,Indian,O,O
