-DOCSTART- -X- -X- O
chutney NN B-NP B-MENU
. . O O

Absolutely RB O O
no DT B-NP O
spinach NN I-NP O
flavor NN I-NP O
. . O O

It PRP B-NP O
was VBD B-VP O
gross JJ B-NP O
and CC O O
we PRP B-NP O
did VBD B-VP O
n't RB I-VP O
eat VB I-VP O
it PRP B-NP O
. . O O

The DT B-NP O
rice NN I-NP B-MENU
and CC O O
naan NN B-NP B-MENU
were VBD B-VP O
fine JJ B-NP O
, , O O
but CC O O
nothing NN B-NP O
special JJ I-NP O
. . O O

They PRP B-NP O
do VBP B-VP O
n't RB I-VP O
have VB I-VP O
plain VBN I-VP B-MENU
rice RB O I-MENU
listed VBN B-VP O
as IN B-PP O
an DT B-NP O
option NN I-NP O
for IN B-PP O
online JJ B-NP O
orders NNS I-NP O
so RB O O
I PRP B-NP O
had VBD B-VP O
to TO I-VP O
call VB I-VP O
and CC I-VP O
request VB I-VP O
it PRP B-NP O
. . O O

Weird NNP B-NP O
. . O O

Terrible JJ B-NP O
food NN I-NP O
overall NN I-NP O
. . O O

Count NNP B-NP O
me PRP B-NP O
in IN B-PP O
for IN B-PP O
Tuesday NNP B-NP O
Dosa NNP I-NP B-MENU
Night NNP I-NP O
. . O O

Fresh NNP B-NP O
dosas NN I-NP B-MENU
served VBD B-VP O
at IN B-PP O
your PRP$ B-NP O
table NN I-NP O
. . O O

A DT B-NP O
buffet NN I-NP O
of IN B-PP O
some DT B-NP O
simple JJ I-NP O
staples NNS I-NP O
while IN B-PP O
waiting VBG B-VP O
for IN B-PP O
your PRP$ B-NP O
hot JJ I-NP O
dosas NN I-NP B-MENU
to TO B-VP O
arrive VB I-VP O
. . O O

You PRP B-NP O
could MD B-VP O
choose VB I-VP O
your PRP$ B-NP O
basic JJ I-NP O
potato NN I-NP O
filling NN I-NP O
or CC O O
meat NN B-NP O
and CC O O
veggies NNS B-NP O
, , O O
You PRP B-NP O
're VBP B-VP O
bound VBN I-VP O
to TO I-VP O
find VB I-VP O
something NN B-NP O
appealing VBG I-NP O
. . O O

A DT B-NP O
couple NN I-NP O
of IN B-PP O
items NNS B-NP O
even RB O O
had VBD B-VP O
some DT B-NP O
heat NN I-NP O
. . O O

Service NNP B-NP O
was VBD B-VP O
pleasant JJ B-NP O
but CC O O
you PRP B-NP O
felt VBP B-VP O
like IN B-PP O
you PRP B-NP O
were VBD B-VP O
on IN B-PP O
your PRP$ B-NP O
own JJ I-NP O
most NN I-NP O
of IN B-PP O
the DT B-NP O
time NN I-NP O
. . O O

Finish VB B-VP O
your PRP$ B-NP O
meal NN I-NP O
off IN B-PP O
with IN B-PP O
delicious JJ B-NP O
chai NNS I-NP B-MENU
, , O O
winner NN B-NP O
winner NN I-NP O
dosa NN I-NP B-MENU
dinner NN I-NP I-MENU
. . O O

We PRP B-NP O
came VBD B-VP O
here RB I-VP O
on IN B-PP O
Tuesday NNP B-NP O
for IN B-PP O
Dosa NNP B-NP B-MENU
Buffet NNP I-NP O
night NN I-NP O
. . O O

I PRP B-NP O
had VBD B-VP O
heard VBN I-VP O
good JJ B-NP O
things NNS I-NP O
about IN B-PP O
it PRP B-NP O
and CC O O
everyone NN B-NP O
was VBD B-VP O
right JJ B-NP O
! . O O

The DT B-NP O
dosas NN I-NP B-MENU
are VBP B-VP O
made VBN I-VP O
to TO I-VP O
order NN B-NP O
and CC O O
they PRP B-NP O
were VBD B-VP O
quite RB I-VP O
good JJ B-NP O
. . O O

We PRP B-NP O
all DT I-NP O
seemed VBD B-VP O
to TO I-VP O
like IN B-PP O
the DT B-NP O
butter NN I-NP B-MENU
masala NN I-NP I-MENU
ones NNS I-NP O
the DT B-NP O
most RBS I-NP O
, , O O
but CC O O
they PRP B-NP O
were VBD B-VP O
all DT B-NP O
very RB O O
good JJ B-NP O
. . O O

They PRP B-NP O
were VBD B-VP O
light JJ B-NP O
and CC O O
easy JJ B-NP O
to TO B-VP O
share NN B-NP O
. . O O

The DT B-NP O
buffet NN I-NP O
is VBZ B-VP O
filled VBN I-VP O
with IN B-PP O
a DT B-NP O
variety NN I-NP O
of IN B-PP O
delicious JJ B-NP O
Indian JJ I-NP O
food NN I-NP O
. . O O

I PRP B-NP O
love VBP B-VP O
Indian JJ B-NP O
food NN I-NP O
, , O O
but CC O O
I PRP B-NP O
'm VBP B-VP O
not RB I-VP O
very RB O O
familiar JJ B-NP O
with IN B-PP O
a DT B-NP O
lot NN I-NP O
of IN B-PP O
the DT B-NP O
cuisine NN I-NP O
so IN B-PP O
the DT B-NP O
buffet NN I-NP O
was VBD B-VP O
a DT B-NP O
great JJ I-NP O
way NN I-NP O
to TO B-VP O
try VB I-VP O
new JJ B-NP O
things NNS I-NP O
. . O O

I PRP B-NP O
did VBD B-VP O
n't RB I-VP O
know VB I-VP O
what WP B-NP O
most JJS I-NP O
of IN B-PP O
it PRP B-NP O
was VBD B-VP O
, , O O
but CC O O
everything NN B-NP O
I PRP B-NP O
had VBD B-VP O
was VBD I-VP O
delicious JJ B-NP O
. . O O

I PRP B-NP O
especially RB O O
liked VBD B-VP O
the DT B-NP O
chana NN I-NP B-MENU
masala NN I-NP I-MENU
. . O O

The DT B-NP O
best JJS I-NP O
part NN I-NP O
is VBZ B-VP O
, , O O
you PRP B-NP O
get VBP B-VP O
all DT B-NP O
of IN B-PP O
this DT B-NP O
for IN B-PP O
$ $ B-NP O
14 CD I-NP O
! . O O

It PRP B-NP O
's VBZ B-VP O
a DT B-NP O
great JJ I-NP O
deal NN I-NP O
for IN B-PP O
the DT B-NP O
amount NN I-NP O
an DT B-NP O
quality NN I-NP O
of IN B-PP O
the DT B-NP O
food NN I-NP O
. . O O

If IN B-PP O
you PRP B-NP O
like VBP B-VP O
Indian JJ B-NP O
food NN I-NP O
, , O O
I PRP B-NP O
would MD B-VP O
definitely RB I-VP O
recommend VB I-VP O
checking VBG I-VP O
this DT B-NP O
place NN I-NP O
out RP B-PP O
! . O O

Went NN B-NP O
for IN B-PP O
a DT B-NP O
buffet NN I-NP O
lunch NN I-NP O
and CC O O
it PRP B-NP O
was VBD B-VP O
excellent JJ B-NP O
just RB O O
like IN B-PP O
everybody NN B-NP O
else RB O O
said VBD B-VP O
. . O O

I PRP B-NP O
've VBP B-VP O
been VBN I-VP O
eating VBG I-VP O
Indian JJ B-NP O
food NN I-NP O
for IN B-PP O
about IN B-PP O
30 CD B-NP O
years NNS I-NP O
and CC O O
this DT B-NP O
was VBD B-VP O
as RB I-VP O
good JJ B-NP O
as IN B-PP O
it PRP B-NP O
gets VBZ B-VP O
. . O O

I PRP B-NP O
was VBD B-VP O
impressed VBN I-VP O
with IN B-PP O
the DT B-NP O
shrimp NN I-NP B-MENU
curry NN I-NP I-MENU
dish JJ I-NP O
being VBG B-VP O
on IN B-PP O
a DT B-NP O
buffet NN I-NP O
. . O O

As IN B-PP O
an DT B-NP O
aside NN I-NP O
, , O O
their PRP$ B-NP O
ventilation NN I-NP O
is VBZ B-VP O
much RB I-VP O
better JJR B-NP O
than IN B-PP O
the DT B-NP O
previous JJ I-NP O
restaurant NN I-NP O
. . O O

It PRP B-NP O
was VBD B-VP O
not RB I-VP O
steamy JJ B-NP O
, , O O
nor CC O O
did VBD B-VP O
I PRP B-NP O
come VB B-VP O
out RP O O
smelling VBG B-VP O
like IN B-PP O
food NN B-NP O
. . O O

Fantastic NNP B-NP O
. . O O

TLDR NN B-NP O
: : O O
The DT B-NP O
food NN I-NP O
is VBZ B-VP O
flavorful JJ B-NP O
, , O O
endless JJ B-NP O
, , O O
and CC O O
ready-to-eat NN B-NP O
. . O O

The DT B-NP O
vibe NN I-NP O
is VBZ B-VP O
casual JJ B-NP O
. . O O

The DT B-NP O
servers NNS I-NP O
are VBP B-VP O
friendly JJ B-NP O
and CC O O
fast NN B-NP O
. . O O

When WRB O O
you PRP B-NP O
are VBP B-VP O
in IN B-PP O
the DT B-NP O
mood NN I-NP O
for IN B-PP O
an DT B-NP O
Indian JJ I-NP O
food NN I-NP O
coma-consider NN I-NP O
Red NNP I-NP O
Chillez NNP I-NP O
. . O O

Delicious NNP B-NP O
food NN I-NP O
and CC O O
great JJ B-NP O
service NN I-NP O
with IN B-PP O
a DT B-NP O
friendly JJ I-NP O
personable JJ I-NP O
touch NN I-NP O
! . O O

Had VBD O O
some DT B-NP O
dishes NNS I-NP O
in IN B-PP O
the DT B-NP O
buffet NN I-NP O
that IN B-PP O
I PRP B-NP O
've VBP B-VP O
never RB I-VP O
had VBN I-VP O
before IN B-PP O
and CC I-PP O
was VBD B-VP O
pleasantly RB I-VP O
surprised JJ B-NP O
! . O O

If IN B-PP O
we PRP B-NP O
're VBP B-VP O
back RB I-VP O
in IN B-PP O
the DT B-NP O
area NN I-NP O
we PRP B-NP O
'd MD B-VP O
love VB I-VP O
to TO I-VP O
come VB I-VP O
again RB O O
. . O O

The DT B-NP O
buffet NN I-NP O
here RB O O
has VBZ B-VP O
a DT B-NP O
very RB O O
large JJ B-NP O
assortment NN I-NP O
of IN B-PP O
items NNS B-NP O
compared VBN I-NP O
to TO B-VP O
other JJ B-NP O
Indian JJ I-NP O
buffets NNS I-NP O
, , O O
and CC O O
their PRP$ B-NP O
spice NN I-NP O
levels NNS I-NP O
are VBP B-VP O
very RB I-VP O
good JJ B-NP O
. . O O

Each DT B-NP O
item NN I-NP O
we PRP B-NP O
had VBD B-VP O
off RP O O
the DT B-NP O
buffet NN I-NP O
was VBD B-VP O
delicious JJ B-NP O
, , O O
even RB O O
my PRP$ B-NP O
wife NN I-NP O
who WP B-NP O
does VBZ B-VP O
n't RB I-VP O
like VB I-VP O
Palak NNP B-NP B-MENU
Paneer NNP I-NP I-MENU
went VBD B-VP O
up RP O O
for IN B-PP O
seconds NNS B-NP O
after IN B-PP O
trying VBG B-VP O
mine NN B-NP O
. . O O

There EX B-NP O
are VBP B-VP O
a DT B-NP O
lot NN I-NP O
more JJR I-NP O
items NNS I-NP O
on IN B-PP O
their PRP$ B-NP O
buffet NN I-NP O
than IN B-PP O
others NNS B-NP O
I PRP B-NP O
've VBP B-VP O
had VBN I-VP O
in IN B-PP O
the DT B-NP O
area NN I-NP O
, , O O
but CC O O
you PRP B-NP O
do VBP B-VP O
pay VB I-VP O
a DT B-NP O
premium NN I-NP O
. . O O

It PRP B-NP O
's VBZ B-VP O
still RB I-VP O
worth JJ B-NP O
it PRP B-NP O
. . O O

My PRP$ B-NP O
only JJ I-NP O
complaint NN I-NP O
is VBZ B-VP O
the DT B-NP O
unnecessary JJ I-NP O
use NN I-NP O
of IN B-PP O
water NN B-NP O
bottles NNS I-NP O
. . O O

I PRP B-NP O
think VBP B-VP O
the DT B-NP O
first JJ I-NP O
one NN I-NP O
is VBZ B-VP O
free JJ B-NP O
but CC O O
you PRP B-NP O
have VBP B-VP O
to TO I-VP O
buy VB I-VP O
more JJR B-NP O
, , O O
which WDT B-NP O
is VBZ B-VP O
n't RB I-VP O
good JJ B-NP O
for IN B-PP O
a DT B-NP O
place NN I-NP O
that WDT B-NP O
makes VBZ B-VP O
spicy NN B-NP O
food NN I-NP O
. . O O

I PRP B-NP O
may MD B-VP O
be VB I-VP O
wrong JJ B-NP O
here RB O O
but CC O O
I PRP B-NP O
did VBD B-VP O
n't RB I-VP O
bother VB I-VP O
to TO I-VP O
ask VB I-VP O
since IN B-PP O
I PRP B-NP O
was VBD B-VP O
n't RB I-VP O
going VBG I-VP O
to TO I-VP O
add VB I-VP O
another DT B-NP O
water NN I-NP O
bottle NN I-NP O
to TO B-VP O
the DT B-NP O
landfill NN I-NP O
. . O O

Replace NN B-NP O
that IN B-PP O
and CC I-PP O
I PRP B-NP O
'd MD B-VP O
give VB I-VP O
a DT B-NP O
higher JJR I-NP O
review NN I-NP O
. . O O

Good JJ B-NP O
food NN I-NP O
, , O O
amazing JJ B-NP O
service NN I-NP O
, , O O
poor JJ B-NP O
ventilation NN I-NP O
in IN B-PP O
the DT B-NP O
restaurant NN I-NP O
so IN B-PP O
your PRP$ B-NP O
clothes NNS I-NP O
will MD B-VP O
need VB I-VP O
a DT B-NP O
direct JJ I-NP O
washing NN I-NP O
when WRB O O
you PRP B-NP O
get VBP B-VP O
home VBN I-VP O
from IN B-PP O
the DT B-NP O
restaurant NN I-NP O
! . O O

went VBD O O
for IN B-PP O
the DT B-NP O
lunch NN I-NP O
buffet NN I-NP O
on IN B-PP O
tuesday NN B-NP O
. . O O
arrived VBN B-VP O
at IN B-PP O
1145 CD B-NP O
and CC O O
the DT B-NP O
open JJ I-NP O
sign NN I-NP O
wasnt NN I-NP O
on IN B-PP O
but CC I-PP O
tried VBD B-VP O
the DT B-NP O
door NN I-NP O
and CC O O
it PRP B-NP O
was VBD B-VP O
open JJ B-NP O
. . O O
no DT B-NP O
one NN I-NP O
greeted VBD B-VP O
me PRP B-NP O
so IN B-PP O
i JJ B-NP O
chose VBP B-VP O
a DT B-NP O
booth NN I-NP O
and CC O O
went VBD B-VP O
to TO I-VP O
the DT B-NP O
buffet NN I-NP O
line NN I-NP O
. . O O
there EX B-NP O
were VBD B-VP O
only RB I-VP O
maybe RB O O
5 CD B-NP O
spots NNS I-NP O
filled VBN B-VP O
. . O O
finally RB O O
at IN B-PP O
noon NN B-NP O
the DT I-NP O
buffet NN I-NP O
was VBD B-VP O
filled VBN I-VP O
and CC I-VP O
i JJ B-NP O
got VBD B-VP O
a DT B-NP O
bit NN I-NP O
. . O O
most JJS O O
of IN B-PP O
the DT B-NP O
dishes NNS I-NP O
looked VBD B-VP O
like IN B-PP O
they PRP B-NP O
were VBD B-VP O
rewarmed VBN I-VP O
from IN B-PP O
the DT B-NP O
weekend NN I-NP O
. . O O
the DT B-NP O
tandoor NN I-NP B-MENU
chicken NN I-NP I-MENU
was VBD B-VP O
pink VBN I-VP O
on IN B-PP O
the DT B-NP O
inside NN I-NP O
and CC O O
rubbery NN B-NP O
. . O O

THE DT B-NP O
FOOD NNP I-NP O
WAS NNP I-NP O
TERRIBLE NNP I-NP O
. . O O
will MD B-VP O
not RB I-VP O
go VB I-VP O
back RB O O
. . O O
very RB O O
unhappy JJ B-NP O
with IN B-PP O
the DT B-NP O
food NN I-NP O
and CC O O
a DT B-NP O
remarkable JJ I-NP O
lack NN I-NP O
of IN B-PP O
service NN B-NP O
. . O O

ABSOLUTELY NNP B-NP O
DELICIOUS NNP I-NP O
lunch NN I-NP O
buffet NN I-NP O
& CC O O
their PRP$ B-NP O
selection NN I-NP O
is VBZ B-VP O
big JJ B-NP O
! . O O

I PRP B-NP O
loved VBD B-VP O
my PRP$ B-NP O
meal NN I-NP O
just RB O O
as RB O O
much JJ B-NP O
as IN B-PP O
the DT B-NP O
atmosphere NN I-NP O
. . O O

Great NNP B-NP O
Punjab NNP I-NP O
music NN I-NP O
videos NN I-NP O
playing NN I-NP O
and CC O O
extremely RB O O
nice JJ B-NP O
customer NN I-NP O
service NN I-NP O
. . O O

Well RB O O
deserved VBN B-VP O
5 CD B-NP O
star NN I-NP O
rating NN I-NP O
! . O O
! . O O
! . O O
! . O O

The DT B-NP O
Mysore NNP I-NP B-MENU
masala NN I-NP I-MENU
dosa NN I-NP I-MENU
was VBD B-VP O
great JJ B-NP O
, , O O
but CC O O
the DT B-NP O
sambar NN I-NP O
really RB O O
stole VBD B-VP O
the DT B-NP O
show NN I-NP O
for IN B-PP O
me PRP B-NP O
. . O O

I PRP B-NP O
was VBD B-VP O
n't RB I-VP O
as IN B-PP O
impressed JJ B-NP O
with IN B-PP O
the DT B-NP O
Chana NNP I-NP B-MENU
batura NN I-NP I-MENU
, , O O
though RB O O
. . O O

Mainly RB O O
because IN B-PP O
the DT B-NP O
batura NN I-NP B-MENU
was VBD B-VP O
too RB I-VP O
thick JJ B-NP O
. . O O

Delicious NNP B-NP O
buffet NN I-NP O
with IN B-PP O
amazing JJ B-NP O
flavors NNS I-NP O
! . O O

Things NNS B-NP O
for IN B-PP O
vegans NNS B-NP O
, , O O
vegetarians NNS B-NP O
, , O O
and CC O O
celiac NN B-NP O
. . O O

The DT B-NP O
service NN I-NP O
was VBD B-VP O
great JJ B-NP O
and CC O O
they PRP B-NP O
were VBD B-VP O
so RB I-VP O
friendly JJ B-NP O
! . O O

This DT B-NP O
restaurant NN I-NP O
has VBZ B-VP O
recently RB I-VP O
changed VBN I-VP O
names NNS B-NP O
and CC O O
ownership NN B-NP O
and CC O O
is VBZ B-VP O
a DT B-NP O
lot NN I-NP O
better JJR I-NP O
than IN B-PP O
it PRP B-NP O
used VBD B-VP O
to TO I-VP O
be VB I-VP O
- : O O
in IN B-PP O
the DT B-NP O
same JJ I-NP O
location NN I-NP O
. . O O

Immediately RB O O
upon IN B-PP O
sitting VBG B-VP O
down RP O O
, , O O
the DT B-NP O
server NN I-NP O
brought VBD B-VP O
bottled JJ B-NP O
water NN I-NP O
for IN B-PP O
each DT B-NP O
of IN B-PP O
us PRP B-NP O
. . O O

I PRP B-NP O
am VBP B-VP O
talking VBG I-VP O
about IN B-PP O
the DT B-NP O
plastic NN I-NP O
bottled VBD B-VP O
water NN B-NP O
that IN B-PP O
you PRP B-NP O
would MD B-VP O
buy VB I-VP O
from IN B-PP O
Harris NNP B-NP O
Teeter NNP I-NP O
! . O O

I PRP B-NP O
have VBP B-VP O
never RB I-VP O
seen VBN I-VP O
that IN B-PP O
done VBN B-NP O
before RB O O
. . O O

Anyway RB O O
, , O O
the DT B-NP O
three CD I-NP O
of IN B-PP O
us PRP B-NP O
ordered VBD B-VP O
a DT B-NP O
bunch NN I-NP O
of IN B-PP O
different JJ B-NP O
dishes NNS I-NP O
and CC O O
enjoyed VBN B-VP O
sharing VBG I-VP O
the DT B-NP O
flavors NNS I-NP O
and CC O O
food NN B-NP O
items NNS I-NP O
. . O O

I PRP B-NP O
think VBP B-VP O
my PRP$ B-NP O
favorite NN I-NP O
was VBD B-VP O
the DT B-NP O
GOBI NNP I-NP B-MENU
65 CD I-NP I-MENU
, , O O
which WDT B-NP O
was VBD B-VP O
fried VBN I-VP B-MENU
cauliflower NN B-NP I-MENU
. . O O

It PRP B-NP O
was VBD B-VP O
magnificently RB I-VP O
prepared VBN I-VP O
with IN B-PP O
the DT B-NP O
best JJS I-NP O
spices NNS I-NP O
. . O O

The DT B-NP O
Gobi NNP I-NP B-MENU
was VBD B-VP O
preceded VBN I-VP O
by IN B-PP O
paneer NN B-NP B-MENU
, , O O
which WDT B-NP O
is VBZ B-VP O
an DT B-NP O
Indian JJ I-NP B-MENU
cheese NN I-NP B-MENU
, , O O
cut VBN B-VP O
into IN B-PP O
square JJ B-NP O
pieces NNS I-NP O
and CC O O
served VBD B-VP O
with IN B-PP O
onions NNS B-NP O
and CC O O
peppers NNS B-NP O
. . O O

We PRP B-NP O
also RB O O
ordered VBD B-VP O
one CD B-NP O
of IN B-PP O
the DT B-NP O
curry NN I-NP B-MENU
dishes NNS I-NP O
and CC O O
a DT B-NP O
Ravaa NNP I-NP B-MENU
Dosa NNP I-NP I-MENU
, , O O
which WDT B-NP O
was VBD B-VP O
served VBN I-VP O
with IN B-PP O
chutney NN B-NP B-MENU
and CC O O
lentil NN B-NP B-MENU
soup NN I-NP I-MENU
. . O O

The DT B-NP O
dosa NN I-NP B-MENU
was VBD B-VP O
served VBN I-VP O
flat JJ B-NP O
on IN B-PP O
the DT B-NP O
plate NN I-NP O
, , O O
as IN B-PP O
opposed VBN B-NP O
to TO B-VP O
the DT B-NP O
rolled VBN I-NP O
up RP B-PP O
dosas NN B-NP B-MENU
that IN B-PP O
I PRP B-NP O
have VBP B-VP O
had VBN I-VP O
in IN B-PP O
the DT B-NP O
past NN I-NP O
. . O O

Finally RB O O
, , O O
we PRP B-NP O
shared VBD B-VP O
some DT B-NP O
cheese JJ I-NP B-MENU
bread NN I-NP I-MENU
. . O O

I PRP B-NP O
ca MD B-VP O
n't RB I-VP O
say VB I-VP O
enough JJ B-NP O
greats NNS I-NP O
things NNS I-NP O
about IN B-PP O
the DT B-NP O
quality NN I-NP O
of IN B-PP O
the DT B-NP O
food NN I-NP O
and CC O O
the DT B-NP O
flavors NNS I-NP O
. . O O

There EX B-NP O
were VBD B-VP O
two CD B-NP O
things NNS I-NP O
that IN B-PP O
we PRP B-NP O
thought VBD B-VP O
could MD B-VP O
have VB I-VP O
been VBN I-VP O
better RBR O O
. . O O

The DT B-NP O
dishes NNS I-NP O
could MD B-VP O
have VB I-VP O
been VBN I-VP O
served VBN I-VP O
a DT B-NP O
little JJ I-NP O
warmer JJR I-NP O
than IN B-PP O
what WP B-NP O
they PRP B-NP O
were VBD B-VP O
. . O O

The DT B-NP O
second JJ I-NP O
thing NN I-NP O
is VBZ B-VP O
that IN B-PP O
the DT B-NP O
service NN I-NP O
was VBD B-VP O
painfully RB I-VP O
slow JJ B-NP O
. . O O

It PRP B-NP O
took VBD B-VP O
at IN B-PP O
least JJS O O
30 CD B-NP O
minutes NNS I-NP O
for IN B-PP O
our PRP$ B-NP O
first JJ I-NP O
dish NN I-NP O
to TO B-VP O
be VB I-VP O
served VBN I-VP O
. . O O

And CC O O
it PRP B-NP O
stayed VBD B-VP O
slow JJ B-NP O
, , O O
all PDT B-NP O
the DT I-NP O
way NN I-NP O
til IN B-PP O
the DT B-NP O
end NN I-NP O
of IN B-PP O
our PRP$ B-NP O
meal NN I-NP O
. . O O

Perhaps RB O O
they PRP B-NP O
are VBP B-VP O
undergoing VBG I-VP O
start VBP I-VP O
up RP O O
pains NNS B-NP O
or CC O O
perhaps RB O O
they PRP B-NP O
were VBD B-VP O
understaffed JJ B-NP O
tonight NN I-NP O
. . O O

No DT B-NP O
sure NN I-NP O
. . O O

What WP B-NP O
I PRP B-NP O
will MD B-VP O
remember VB I-VP O
is VBZ B-VP O
the DT B-NP O
how WRB O O
my PRP$ B-NP O
palette NN I-NP O
jumped VBD B-VP O
up RB I-VP O
and CC I-VP O
down RB O O
with IN B-PP O
each DT B-NP O
bite NN I-NP O
. . O O

There EX B-NP O
is VBZ B-VP O
a DT B-NP O
bar NN I-NP O
in IN B-PP O
the DT B-NP O
restaurant NN I-NP O
, , O O
but CC O O
the DT B-NP O
emphasis NN I-NP O
seems VBZ B-VP O
to TO I-VP O
be VB I-VP O
on IN B-PP O
beer NN B-NP B-MENU
and CC O O
wine NN B-NP B-MENU
. . O O

The DT B-NP O
atmosphere NN I-NP O
is VBZ B-VP O
light JJ B-NP O
and CC O O
quiet JJ B-NP O
, , O O
which WDT B-NP O
worked VBD B-VP O
perfectly RB I-VP O
for IN B-PP O
us PRP B-NP O
. . O O

If IN B-PP O
they PRP B-NP O
speed VBP B-VP O
up RP O O
the DT B-NP O
service NN I-NP O
and CC O O
warm VB B-VP O
up RP O O
the DT B-NP O
food NN I-NP O
just RB O O
a DT B-NP O
tad NN I-NP O
, , O O
this DT B-NP O
place NN I-NP O
will MD B-VP O
be VB I-VP O
a DT B-NP O
winner NN I-NP O
in IN B-PP O
the DT B-NP O
Ballantyne NNP I-NP O
area NN I-NP O
! . O O

Regardless RB O O
, , O O
I PRP B-NP O
thought VBD B-VP O
it PRP B-NP O
was VBD B-VP O
four CD B-NP O
star NN I-NP O
experience NN I-NP O
. . O O

It PRP B-NP O
's VBZ B-VP O
Indigenous JJ B-NP O
peoples NNS I-NP O
' POS B-NP O
day NN I-NP O
today NN I-NP O
and CC O O
we PRP B-NP O
were VBD B-VP O
going VBG I-VP O
to TO I-VP O
o VB I-VP O
have VB I-VP O
sushi VBN I-VP B-MENU
. . O O
. . O O
. . O O
but CC O O
Mr NNP B-NP O
Tokyo NNP I-NP O
was VBD B-VP O
packed VBN I-VP O
. . O O
. . O O
. . O O
so IN B-PP O
we PRP B-NP O
were VBD B-VP O
going VBG I-VP O
to TO I-VP O
Sky NNP B-NP O
Asian NNP I-NP O
. . O O
. . O O
. . O O
not RB O O
open JJ B-NP O
. . O O
. . O O
. . O O
so IN B-PP O
we PRP B-NP O
were VBD B-VP O
then RB I-VP O
going VBG I-VP O
to TO I-VP O
our PRP$ B-NP O
normal JJ I-NP O
Indian JJ I-NP O
Buffet NNP I-NP O
and CC O O
my PRP$ B-NP O
wife NN I-NP O
said VBD B-VP O
`` `` O O
Oh UH O O
, , O O
that DT B-NP O
place NN I-NP O
opened VBD B-VP O
in IN B-PP O
ballantyne NN B-NP O
`` `` I-NP O
and CC O O
we PRP B-NP O
called VBD B-VP O
to TO I-VP O
see VB I-VP O
if IN B-PP O
they PRP B-NP O
had VBD B-VP O
lunch NN B-NP O
. . O O

The DT B-NP O
person NN I-NP O
answering VBG B-VP O
the DT B-NP O
phone NN I-NP O
was VBD B-VP O
nice JJ B-NP O
and CC O O
said VBD B-VP O
they PRP B-NP O
were VBD B-VP O
open JJ B-NP O
and CC O O
buffet NN B-NP O
was VBD B-VP O
ready JJ B-NP O
, , O O
etc FW O O
. . O O
. . O O
. . O O

AND CC O O
OH NNP B-NP O
MY NNP I-NP O
GOODNESS NNP I-NP O
! . O O
! . O O
! . O O
! . O O
! . O O

Best JJS B-NP O
Indian JJ I-NP O
Buffet NNP I-NP O
i NN I-NP O
have VBP B-VP O
ever RB I-VP O
had VBN I-VP O
. . O O

the DT B-NP O
place NN I-NP O
was VBD B-VP O
absolutely RB I-VP O
packed JJ B-NP O
and CC O O
i JJ B-NP O
do VBP B-VP O
n't RB I-VP O
think VB I-VP O
they PRP B-NP O
expected VBD B-VP O
the DT B-NP O
crowd NN I-NP O
, , O O
but CC O O
they PRP B-NP O
sat VBD B-VP O
us PRP B-NP O
within IN B-PP O
minutes NNS B-NP O
and CC O O
. . O O
. . O O
. . O O
i NN B-NP O
ca MD B-VP O
n't RB I-VP O
say VB I-VP O
enough RB O O
good JJ B-NP O
stuff NN I-NP O
. . O O

The DT B-NP O
food NN I-NP O
was VBD B-VP O
OUTSTANDING NNP B-NP O
. . O O

i NN B-NP O
tried VBD B-VP O
about IN B-PP O
20 CD B-NP O
different JJ I-NP O
dishes NNS I-NP O
, , O O
special JJ B-NP O
thanks NNS I-NP O
to TO B-VP O
the DT B-NP O
Chicken NNP I-NP B-MENU
555 CD I-NP O
, , O O
the DT B-NP O
Best NNP I-NP O
chicken NN I-NP B-MENU
masala NN I-NP I-MENU
and CC O I-MENU
curry NN B-NP I-MENU
i NN I-NP O
've VBP B-VP O
had VBN I-VP O
in IN B-PP O
years NNS B-NP O
, , O O
and CC O O
the DT B-NP O
eggplant JJ I-NP B-MENU
/ NNP I-NP O
potato NN I-NP O
dish NN I-NP O
was VBD B-VP O
just RB I-VP O
off IN B-PP O
the DT B-NP O
charts NNS I-NP B-MENU
. . O O
. . O O
. . O O

Everything NN B-NP O
had VBD B-VP O
enough JJ B-NP O
spice NN I-NP O
to TO B-VP O
make VB I-VP O
you PRP B-NP O
crave VB B-VP O
more JJR B-NP O
and CC O O
not RB O O
too RB O O
much JJ B-NP O
to TO B-VP O
make VB I-VP O
you PRP B-NP O
cry JJR I-NP O
. . O O
. . O O
. . O O
just RB O O
enough RB O O
for IN B-PP O
a DT B-NP O
nice JJ I-NP O
head NN I-NP O
sweat NN I-NP O
if IN B-PP O
you PRP B-NP O
eat VBP B-VP O
too RB I-VP O
fast RB O O
( ( O O
you PRP B-NP O
know VBP B-VP O
what WP B-NP O
i JJ I-NP O
mean VBP B-VP O
) ) O O
and CC O O
when WRB O O
were VBD B-VP O
were VBD I-VP O
STUFFED NNP B-NP O
, , O O
my PRP$ B-NP O
wife NN I-NP O
decided VBD B-VP O
on IN B-PP O
dessert NN B-NP O
. . O O
. . O O
. . O O
and CC O O
she PRP B-NP O
picked VBD B-VP O
the DT B-NP O
